"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"6.112121212121212","interacts with","4321 (interacts with) 7170","false","interacts with","4321 (interacts with) 7170"
"4.485858585858586","interacts with","4321 (interacts with) 5618","false","interacts with","4321 (interacts with) 5618"
"5.152525252525253","interacts with","4321 (interacts with) 10125","false","interacts with","4321 (interacts with) 10125"
"3.6666666666666665","interacts with","5618 (interacts with) 10125","false","interacts with","5618 (interacts with) 10125"
"7.637373737373737","interacts with","5618 (interacts with) 8648","false","interacts with","5618 (interacts with) 8648"
"4.833333333333334","interacts with","5618 (interacts with) 7170","false","interacts with","5618 (interacts with) 7170"
"4.137373737373737","interacts with","2180 (interacts with) 4321","false","interacts with","2180 (interacts with) 4321"
"11.137373737373737","interacts with","2180 (interacts with) 8648","false","interacts with","2180 (interacts with) 8648"
"4.666666666666666","interacts with","2180 (interacts with) 7170","false","interacts with","2180 (interacts with) 7170"
"3.6666666666666665","interacts with","2180 (interacts with) 5618","false","interacts with","2180 (interacts with) 5618"
"5.137373737373737","interacts with","7170 (interacts with) 8648","false","interacts with","7170 (interacts with) 8648"
"3.6666666666666665","interacts with","4319 (interacts with) 7170","false","interacts with","4319 (interacts with) 7170"
"5.804040404040404","interacts with","4319 (interacts with) 8648","false","interacts with","4319 (interacts with) 8648"
"6.778787878787879","interacts with","4319 (interacts with) 4321","false","interacts with","4319 (interacts with) 4321"
"4.833333333333333","interacts with","4319 (interacts with) 10125","false","interacts with","4319 (interacts with) 10125"
"6.015151515151515","interacts with","2690 (interacts with) 10125","false","interacts with","2690 (interacts with) 10125"
"7.015151515151516","interacts with","2690 (interacts with) 5618","false","interacts with","2690 (interacts with) 5618"
"4.5","interacts with","2690 (interacts with) 8648","false","interacts with","2690 (interacts with) 8648"
"4.833333333333333","interacts with","2690 (interacts with) 2886","false","interacts with","2690 (interacts with) 2886"
"4.863636363636363","interacts with","2690 (interacts with) 26227","false","interacts with","2690 (interacts with) 26227"
"8.304040404040405","interacts with","8648 (interacts with) 10125","false","interacts with","8648 (interacts with) 10125"
"8.242424242424242","interacts with","8648 (interacts with) 26227","false","interacts with","8648 (interacts with) 26227"
"5.904040404040403","interacts with","2886 (interacts with) 4319","false","interacts with","2886 (interacts with) 4319"
"6.904040404040403","interacts with","2886 (interacts with) 7170","false","interacts with","2886 (interacts with) 7170"
"4.333333333333333","interacts with","2886 (interacts with) 8648","false","interacts with","2886 (interacts with) 8648"
"3.696969696969697","interacts with","2886 (interacts with) 26227","false","interacts with","2886 (interacts with) 26227"
"6.904040404040402","interacts with","1789 (interacts with) 7170","false","interacts with","1789 (interacts with) 7170"
"5.904040404040404","interacts with","1789 (interacts with) 4319","false","interacts with","1789 (interacts with) 4319"
"4.333333333333333","interacts with","1789 (interacts with) 8648","false","interacts with","1789 (interacts with) 8648"
"2.0","interacts with","1789 (interacts with) 2886","false","interacts with","1789 (interacts with) 2886"
"4.833333333333332","interacts with","1789 (interacts with) 2690","false","interacts with","1789 (interacts with) 2690"
"3.696969696969697","interacts with","1789 (interacts with) 26227","false","interacts with","1789 (interacts with) 26227"
"10.944444444444443","interacts with","898 (interacts with) 8648","false","interacts with","898 (interacts with) 8648"
"4.277777777777779","interacts with","898 (interacts with) 2886","false","interacts with","898 (interacts with) 2886"
"2.5","interacts with","898 (interacts with) 26227","false","interacts with","898 (interacts with) 26227"
"4.277777777777778","interacts with","898 (interacts with) 1789","false","interacts with","898 (interacts with) 1789"
